tool name,link,class/type,Program,Have a manuscript?,Publication DOI,Have a DOI for the software itself?,Twitter,Youtube,Other media,,Instructions how to cite,Code repo,health_metrics,contact email,Documentation,type of data,year of 1st release,year of the most recent version/update,"development metrics (outside contributors) (given the age of the tool- are their new versions?, forum for requests?)",extensive contact/feedback,"software health metrics (unit testing, automation, code coverage stats)"
VIPER,https://califano.c2b2.columbia.edu/viper,Bioconductor R packages,CTD^2,PMID: 27322546,DOI: 10.1038/ng.3593,DOI: 10.18129/B9.bioc.viper,,,,,"Yes. Alvarez MJ, Shen Y, Giorgi FM, Lachmann A, Ding BB, Ye BH, Califano A (2016). “Functional characterization of somatic mutations in cancer using network-based inference of protein activity.” Nature genetics, 48(8), 838–47. ",https://www.bioconductor.org/packages/release/bioc/html/viper.html (https://github.com/Rbbt-Workflows/Viper),on bioconductor only,reef103@gmail.com,"Yes. https://www.bioconductor.org/packages/release/bioc/vignettes/viper/inst/doc/viper.pdf
https://www.bioconductor.org/packages/release/bioc/manuals/viper/man/viper.pdf",genomics,2014,2022,Bioconductor stats: https://www.bioconductor.org/packages/release/bioc/html/viper.html,No,Download stats: http://bioconductor.org/packages/stats/bioc/viper/
AMARETTO,https://bioconductor.org/packages/release/bioc/html/AMARETTO.html,Bioconductor R packages,ITCR,PMID: 24511378,DOI: 10.1098/rsfs.2013.0013,DOI: 10.18129/B9.bioc.AMARETTO,,,,,"Yes. Shinde J, Everaert C, Bakr S, Nabian M, Xu J, Carey V, Pochet N, Gevaert O (2022). AMARETTO: Regulatory Network Inference and Driver Gene Evaluation using Integrative Multi-Omics Analysis and Penalized Regression. R package version 1.13.0. ",https://bioconductor.org/packages/release/bioc/html/AMARETTO.html,on bioconductor only,olivier.gevaert@gmail.com,"https://bioconductor.org/packages/release/bioc/vignettes/AMARETTO/inst/doc/amaretto.html
https://bioconductor.org/packages/release/bioc/manuals/AMARETTO/man/AMARETTO.pdf",mixed,2019,2022,Bioconductor stats: https://bioconductor.org/packages/release/bioc/html/AMARETTO.html,No,Download stats: http://bioconductor.org/packages/stats/bioc/AMARETTO/
Cores Of Recurrent Events (CORE),https://rdrr.io/cran/CORE/,other R packages,ITCR,PMID: 23744040,DOI: 10.1073/pnas.1306909110,,,,,,No,https://rdrr.io/cran/CORE/,No,guolisun87@gmail.com,https://rdrr.io/cran/CORE/man/CORE.html,genomics,2013,2022,No,No,No
MethCon5,https://cran.r-project.org/web/packages/methcon5/index.html,other R packages,ITCR,PMID: 32078366,DOI: 10.1200/CCI.19.00109,,,,,,No,https://cran.r-project.org/web/packages/methcon5/index.html,unknown status,emilhhvitfeldt@gmail.com,https://cran.r-project.org/web/packages/methcon5/methcon5.pdf,,2019,2022,No,No,No
Integrative Genomics Robust iDentification of cancer subgroups (InGRiD),https://dongjunchung.github.io/INGRID/,other R packages,ITCR,PMID: 29336210,DOI: 10.1177/0962280217752980,DOI: 10.5281/zenodo.3687186,,https://www.youtube.com/watch?v=pAsDKxbOv0c,,,No,https://dongjunchung.github.io/INGRID/,No,No,very limited,genomics,2020,2020,github: https://github.com/dongjunchung/INGRID/graphs/contributors,No,No
DANA,https://github.com/LXQin/DANA,other R packages,ITCR,https://arxiv.org/abs/2201.05055,https://doi.org/10.48550/arXiv.2201.05055,,,,,,No,https://github.com/LXQin/DANA,No,No,limited,genomics,2022,2022,github: https://github.com/LXQin/DANA,No,No
PRECISION.seq,https://github.com/LXQin/PRECISION.seq,other R packages,ITCR,PMID: 32598180,DOI: 10.1200/CCI.19.00118,,,,,,No,https://github.com/LXQin/PRECISION.seq,No,No,https://lxqin.github.io/PRECISION.seq/articles/Intro_Data.html,genomics,2020,2021,github: https://github.com/LXQin/PRECISION.seq,No,No
Gene Pattern Notebook,notebook.genepattern.org,Python scripts/Jupyter notebooks,ITCR,PMID: 28822753,DOI: 10.1016/j.cels.2017.07.003,,https://twitter.com/GenePattern/status/1590030052875735040?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Escreen-name%3AGenePattern%7Ctwcon%5Es1,https://www.youtube.com/watch?v=8npzyGLpUHU,,,Yes. Reich et al. The GenePattern Notebook Environment. Cell Systems. 2017(5):149-51 ,https://github.com/genepattern?q=notebook,Yes build,,"Yes. Extensive documentation and tutorials.
https://notebook.genepattern.org/docs/
https://notebook.genepattern.org/tutorial-videos/",mixed,2006 - strat of the Gene Pattern; I belive 2017 is the beginning of Gene pattern Notebook,2022,github: https://github.com/genepattern?q=notebook,https://groups.google.com/g/genepattern-help,No
AmpliconReconstructor (AR),https://github.com/jluebeck/AmpliconReconstructor,Python scripts/Jupyter notebooks,ITCR,PMID: 32873787,DOI: 10.1038/s41467-020-18099-z,,,,,,"Yes. Luebeck et al., ""AmpliconReconstructor integrates NGS and optical mapping to resolve the complex structures of focal amplifications"", Nature Communications, 2020.",https://github.com/jluebeck/AmpliconReconstructor,No,No,https://github.com/jluebeck/AmpliconReconstructor/blob/master/README.md,genomics,2020,2022,github: https://github.com/jluebeck/AmpliconReconstructor,No,No
AmpliconArchitect (AA),https://github.com/virajbdeshpande/AmpliconArchitect,Python scripts/Jupyter notebooks,ITCR,PMID: 30674876,DOI: 10.1038/s41467-018-08200-y,,,,,,"Yes. Deshpande, V. et al. Exploring the landscape of focal amplifications in cancer using AmpliconArchitect. Nat. Commun. 10, 392 (2019). (Article)",https://github.com/virajbdeshpande/AmpliconArchitect,,No,https://github.com/virajbdeshpande/AmpliconArchitect#readme,genomics,2019,2022,github: https://github.com/virajbdeshpande/AmpliconArchitect,No,No
HistoQC,https://github.com/choosehappy/HistoQC,Python scripts/Jupyter notebooks,ITCR,PMID: 30990737,DOI: 10.1200/CCI.18.00157,,,,,,"Yes. ""HistoQC: An Open-Source Quality Control Tool for Digital Pathology Slides"", Janowczyk A., Zuo R., Gilmore H., Feldman M., Madabhushi A., JCO Clinical Cancer Informatics, 2019",https://github.com/choosehappy/HistoQC,No,No,"https://github.com/choosehappy/HistoQC#readme
https://github.com/choosehappy/HistoQC/wiki",digital pathology slides,2019,2022,github: https://github.com/choosehappy/HistoQC,No,No
IGV-notebook,https://github.com/igvteam/igv-notebook,Python scripts/Jupyter notebooks,ITCR,https://www.biorxiv.org/content/10.1101/2020.05.03.075499v1,doi: https://doi.org/10.1101/2020.05.03.075499,,,,,,No,https://github.com/igvteam/igv-notebook,No,No,https://github.com/igvteam/igv-notebook#readme,genomics,2022,2022,github: https://github.com/igvteam/igv-notebook#readme,No,No
GSEA,http://www.gsea-msigdb.org/gsea/index.jsp,Desktop Application,ITCR,PMID: 12808457,DOI: 10.1038/ng1180,,https://twitter.com/intent/follow?original_referer=http%3A%2F%2Fwww.gsea-msigdb.org%2F&ref_src=twsrc%5Etfw%7Ctwcamp%5Ebuttonembed%7Ctwterm%5Efollow%7Ctwgr%5EGSEA_MSigDB&screen_name=GSEA_MSigDB,,,,"Yes.  Subramanian, Tamayo, et al. (2005, PNAS) and Mootha, Lindgren, et al. (2003, Nature Genetics).",R version is available here: https://www.gsea-msigdb.org/gsea/downloads_archive.jsp,no,"gsea-team@broadinstitute.org
genesets@broadinstitute.org","https://software.broadinstitute.org/cancer/software/gsea/wiki/index.php/Main_Page
http://www.gsea-msigdb.org/gsea/doc/GSEAUserGuideFrame.html","genomic, phenotypic",2003,2022,No,https://groups.google.com/g/gsea-help,No
Cytoscape,https://cytoscape.org,Desktop Application,ITCR/CTD^2,PMID: 14597658,DOI: 10.1101/gr.1239303,,https://twitter.com/cytoscape/status/1592019597057617920?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Escreen-name%3Acytoscape%7Ctwcon%5Es1,https://www.youtube.com/watch?v=_nbqSe4Zaps&t=3s,,,"Yes.  Shannon P, Markiel A, Ozier O, Baliga NS, Wang JT, Ramage D, Amin N, Schwikowski B, Ideker T.
Cytoscape: a software environment for integrated models of biomolecular interaction networks

Genome Research 2003 Nov; 13(11):2498-504 ",https://github.com/cytoscape/cytoscape,travis but no badge,,"Lots of documentation, including manual, tutorials, video demos, links for developers, etc
https://cytoscape.org/documentation_users.html",,,,github: https://github.com/cytoscape/cytoscape,Bug report form: https://cytoscape.org/bug-report.html,No
Pathology Imaging Informatics Platform (PIIP),http://pathiip.org/,Desktop Application,ITCR,PMID: 29092947,DOI: 10.1158/0008-5472.CAN-17-0323,,,,,,Many publications are listed. It's unclear how to cite.,No,NA,No,Limited,digital pathology slides,2016,2020,No,There is a forum with no posts: http://pathiip.org/?q=forum,No
Trinity,https://github.com/trinityrnaseq/trinityrnaseq/wiki,Desktop Application,ITCR,PMID: 21572440,DOI: 10.1038/nbt.1883,,,,,,"Yes. Grabherr MG, Haas BJ, Yassour M, Levin JZ, Thompson DA, Amit I, Adiconis X, Fan L, Raychowdhury R, Zeng Q, Chen Z, Mauceli E, Hacohen N, Gnirke A, Rhind N, di Palma F, Birren BW, Nusbaum C, Lindblad-Toh K, Friedman N, Regev A. Full-length transcriptome assembly from RNA-seq data without a reference genome. Nat Biotechnol. 2011 May 15;29(7):644-52. doi: 10.1038/nbt.1883. PubMed PMID: 21572440.",https://github.com/trinityrnaseq/trinityrnaseq,unknown status badge,,https://github.com/trinityrnaseq/trinityrnaseq/wiki,genomics,2011,2022,github: https://github.com/trinityrnaseq/trinityrnaseq,https://groups.google.com/g/trinityrnaseq-users,No
Text Information Extraction System (TIES),https://sourceforge.net/projects/caties/,Desktop Application,ITCR,PMID: 29416911,DOI: 10.4103/jpi.jpi_55_17,,,,,,No,https://sourceforge.net/p/caties/code/HEAD/tree/,No,No,,clinical text,2007,"this software and forum are no longer maintained, as of 8/15/2019",No,https://sourceforge.net/p/caties/discussion/,"SourceForge statistics
Code commit log https://sourceforge.net/p/caties/code/2512/log/?path="
OncoMX,https://www.oncomx.org,Database/Ontology,ITCR,PMID: 32142370,DOI: 10.1200/CCI.19.00117,,,,,,"Yes. Hayley M. Dingerdissen, Frederic Bastian, K. Vijay-Shanker, Marc Robinson-Rechavi, Amanda Bell, Nikhita Gogate, Samir Gupta, Evan Holmes, Robel Kahsay, Jonathon Keeney, Heather Kincaid, Charles Hadley King, David Liu, Daniel J. Crichton, and Raja Mazumder. OncoMX: A Knowledgebase for Exploring Cancer Biomarkers in the Context of Related Cancer and Healthy Data. JCO Clin Cancer Inform. 2020 :4, 210-220. PMID: 32142370. https://ascopubs.org/doi/full/10.1200/CCI.19.00117",No,NA,Contuct Us form,"https://www.oncomx.org/faq?fq=/static/docs/README.1.0.26.txt
video tutorials, PDF help
",genomics,2020,unknown,No,Contuct Us form,No
Molecular Signatures Database (MSigDB),https://www.gsea-msigdb.org/gsea/msigdb/,Database/Ontology,ITCR,PMID: 21546393,DOI: 10.1093/bioinformatics/btr260,,https://twitter.com/intent/follow?original_referer=https%3A%2F%2Fwww.gsea-msigdb.org%2F&ref_src=twsrc%5Etfw%7Ctwcamp%5Ebuttonembed%7Ctwterm%5Efollow%7Ctwgr%5EGSEA_MSigDB&screen_name=GSEA_MSigDB,,,,"Yes. Subramanian, Tamayo, et al. (2005, PNAS) and one or more of the following as appropriate: Liberzon, et al. (2011, Bioinformatics), Liberzon, et al. (2015, Cell Systems)",No,NA,genesets@broadinstitute.org,https://www.gsea-msigdb.org/gsea/msigdb/human/collections.jsp,Gene sets,2005,2022,No,https://groups.google.com/g/gsea-help,No
Pathway Commons,https://www.pathwaycommons.org,Database/Ontology,CTD^2,PMID: 31647099,DOI: 10.1093/nar/gkz946,,https://twitter.com/pathwaycommons,,,,"Pathway Commons 2019 Update. Nucleic Acids Res (2019)
Author-sourced pathway capture using Biofactoid. eLife (2021)",https://github.com/pathwaycommons/,Yes,,https://www.pathwaycommons.org/guide/,Gene sets,2011,2021,github: https://github.com/pathwaycommons/,"https://groups.google.com/g/pathway-commons-help
https://groups.google.com/g/pathway-commons-announcements",No
"Patient-Derived Xenograft (PDX) Finder 
It's now PDCMFinder https://www.cancermodels.org/","https://www.pdxfinder.org
https://www.cancermodels.org/",Database/Ontology,ITCR,PMID: 30535239,DOI: 10.1093/nar/gky984,,,,,,PDXFinder ref is provided: https://pubmed.ncbi.nlm.nih.gov/30535239/,https://github.com/PDCMFinder/pdxfinder,unknown status badge,"Contact form
helpdesk@cancermodels.org",Limited,cancer models,2017,2022,No,Contact form,No
Personalized Cancer Therapy,https://pct.mdanderson.org,Database/Ontology,ITCR,PMID: 29212833,DOI: 10.1101/mcs.a001578,,,,,,No,No,NA,No,https://pct.mdanderson.org/#/about/knowledge-base-generation,mixed,Unknown,2015,No,No,No
rDriver,https://bioinformatics.mdanderson.org/public-software/rdriver/,Command-line tool/Other scripts,CTD^2,PMID: 29738578,DOI: 10.1371/journal.pone.0196939,,,,,,"Yes.  	Wang, Ng, Chen, et al. Cancer driver mutation prediction through Bayesian integration of multi-omic data, PLoS One. 2018; 13(5): e0196939. https://doi.org/10.1371/journal.pone.0196939",https://bioinformatics.mdanderson.org/public-software/rdriver/,No,kchen3@mdanderson.org,Included as part of the package,multi-omics,Unknown,2017,No,No,No
dcmqi: DICOM for Quantitative Imaging,https://github.com/qiicr/dcmqi,Command-line tool/Other scripts,ITCR,PMID: 27257542,DOI: 10.7717/peerj.2057,,,,,,"Yes. Fedorov A, Clunie D, Ulrich E, Bauer C, Wahle A, Brown B, Onken M, Riesmeier J, Pieper S, Kikinis R, Buatti J, Beichel RR. (2016) DICOM for quantitative imaging biomarker development: a standards based approach to sharing clinical data and structured PET/CT analysis results in head and neck cancer research. PeerJ 4:e2057 https://doi.org/10.7717/peerj.2057",https://github.com/qiicr/dcmqi,Yes coverage and build,No,https://qiicr.gitbook.io/dcmqi-guide/,Imaging,2017,2022,github: https://github.com/qiicr/dcmqi,Google group is not working: https://groups.google.com/forum/#!forum/dcmqi,No
Lancet,https://github.com/nygenome/lancet,Command-line tool/Other scripts,ITCR,PMID: 30271907,DOI: 10.1038/s42003-018-0023-9,,,,,,"Yes. Narzisi G, Corvelo A, Arora K, Bergmann E, Shah M, Musunuri R, Emde AK, Robine N, Vacic V, Zody MC. Genome-wide somatic variant calling using localized colored de Bruijn graphs. Communications Biology, Nature Research publishing, volume 1, Article number: 20, 2018 (DOI:10.1038/s42003-018-0023-9).",https://github.com/nygenome/lancet,No,No,https://github.com/nygenome/lancet#readme,mutation analysis,2018,2022,github:https://github.com/nygenome/lancet,No,No
owl-qa,https://github.com/caCDE-QA/owl-qa,Command-line tool/Other scripts,ITCR,PMID: 26958201,NO DOI,,,,,,"Yes. Jiang G, Solbrig HR, Prud'hommeaux E, Tao C, Weng C, Chute CG. Quality Assurance of Cancer Study Common Data Elements Using A Post-Coordination Approach. AMIA Annu Symp Proc. 2015 Nov 5;2015:659-68. eCollection 2015. http://www.ncbi.nlm.nih.gov/pubmed/26958201",https://github.com/caCDE-QA/owl-qa,No,No,https://github.com/caCDE-QA/owl-qa#readme,mixed,2015,2015,github: https://github.com/caCDE-QA/owl-qa,No,No
