tool name,link,class/type,Program,Have a manuscript?,Publication DOI,Have a DOI for the software itself?,Twitter,Youtube,Other media,...11,Instructions how to cite,Code repo,contact email,Documentation,type of data,year of 1st release,year of the most recent version/update,"development metrics (outside contributors) (given the age of the tool- are their new versions?, forum for requests?)",extensive contact/feedback,"software health metrics (unit testing, automation, code coverage stats)",ownDOI,Twitter.bi,Youtube.bi,OtherMedia.bi,socialMedia,citeHow,releaseYear,updateYear,toolAge,TimeSinceLastUpdate,extensiveContact,softHealthMetrics
JBrowse,https://jbrowse.org/jb2/,Web-based tool,ITCR,https://www.biorxiv.org/content/10.1101/2022.07.28.501447v1,doi: https://doi.org/10.1101/2022.07.28.501447,NA,https://twitter.com/usejbrowse,NA,https://gitter.im/GMOD/jbrowse2,NA,Yes. JBrowse 2: A modular genome browser with views of synteny and structural variation (2022). bioRxiv. https://doi.org/10.1101/2022.07.28.501447,https://github.com/GMOD/jbrowse-components,gmod-ajax@lists.sourceforge.net,https://jbrowse.org/jb2/docs/,genomics,2009,2022,github: https://github.com/GMOD/jbrowse-components,"https://github.com/GMOD/jbrowse-components/discussions
https://gitter.im/GMOD/jbrowse2",No,No,Yes,No,Yes,Yes,Yes,2009,2022,14,0,Yes,No
PhenStat,https://www.bioconductor.org/packages/release/bioc/html/PhenStat.html,Bioconductor R packages,ITCR,PMID: 26147094,DOI: 10.1371/journal.pone.0131274,NA,NA,NA,NA,NA,"Yes. Kurbatova N, Karp N, Mason J, Haselimashhadi H (2022). PhenStat: Statistical analysis of phenotypic data. R package version 2.34.0.",https://www.bioconductor.org/packages/release/bioc/html/PhenStat.html,hamedhm@ebi.ac.uk,https://www.bioconductor.org/packages/release/bioc/manuals/PhenStat/man/PhenStat.pdf,phenotypic associations,2017,2022,Bioconductor stats: http://bioconductor.org/checkResults/release/bioc-LATEST/PhenStat/,No,Download stats: http://bioconductor.org/packages/stats/bioc/PhenStat/,No,No,No,No,No,Yes,2017,2022,6,0,None,Download stats
Bioconductor,https://www.bioconductor.org/,Bioconductor R packages,ITCR,PMID: 25633503,DOI: 10.1038/nmeth.3252,DOI: 10.18129/B9.bioc.PhenStat,https://twitter.com/Bioconductor/status/1593623086053527552?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Escreen-name%3ABioconductor%7Ctwcon%5Es1,NA,NA,NA,"Yes. Huber et al., 2015 Nature Methods 12:115-121 and Gentleman et al., 2004 Genome Biology 5:R80",https://www.bioconductor.org/checkResults/,NA,https://www.bioconductor.org/help/,mixed,2001,2022,"https://bioconductor.org/developers/gitlog/
https://www.bioconductor.org/developers/",https://support.bioconductor.org/,Annual reports: https://www.bioconductor.org/about/annual-reports/,Yes,Yes,No,No,Yes,Yes,2001,2022,22,0,Yes,Annual reports
Enhancer Linking by Methylation/Expression Relationships (ELMER),http://bioconductor.org/packages/release/bioc/html/ELMER.html,Bioconductor R packages,ITCR,PMID: 30364927,DOI: 10.1093/bioinformatics/bty902,DOI: 10.18129/B9.bioc.ELMER,NA,NA,NA,NA,"Yes. Silva TC, Coetzee SG, Gull N, Yao L, Hazelett DJ, Noushmehr H, Lin D, Berman BP (2018). “ELMER v.2: An R/Bioconductor package to reconstruct gene regulatory networks from DNA methylation and transcriptome profiles.” Bioinformatics. doi: 10.1093/bioinformatics/bty902.",NA,tiagochst@usp.br,Yes. http://bioconductor.org/packages/release/bioc/html/ELMER.html,DNA methylation and gene expression,2015,2022,Bioconductor stats: http://bioconductor.org/packages/release/bioc/html/ELMER.html,No,Download stats: http://bioconductor.org/packages/stats/bioc/ELMER/,Yes,No,No,No,No,Yes,2015,2022,8,0,None,Download stats
Driver-gene Inference by Genetical-Genomics and Information Theory (DIGGIT),https://www.bioconductor.org/packages/release/bioc/html/diggit.html,Bioconductor R packages,CTD^2,PMID: 26338767,DOI: 10.1093/bioinformatics/btv499,DOI: 10.18129/B9.bioc.diggit,NA,NA,NA,NA,No,https://www.bioconductor.org/packages/release/bioc/html/diggit.html,reef103@gmail.com,Yes. https://www.bioconductor.org/packages/release/bioc/vignettes/diggit/inst/doc/diggit.pdf,genomics,2015,2022,Bioconductor stats: https://www.bioconductor.org/packages/release/bioc/html/diggit.html,No,Download stats: http://bioconductor.org/packages/stats/bioc/diggit/,Yes,No,No,No,No,No,2015,2022,8,0,None,Download stats
MethylMix,https://bioconductor.org/packages/release/bioc/html/MethylMix.html,Bioconductor R packages,CTD^2,PMID: 25609794,DOI: 10.1093/bioinformatics/btv020,DOI: 10.18129/B9.bioc.MethylMix,NA,NA,NA,NA,Gevaert O (2022). MethylMix: MethylMix: Identifying methylation driven cancer genes. R package version 2.28.0.,https://bioconductor.org/packages/release/bioc/html/MethylMix.html,olivier.gevaert@gmail.com,Yes. https://bioconductor.org/packages/release/bioc/vignettes/MethylMix/inst/doc/vignettes.html,methylation,2014,2022,Bioconductor stats: https://bioconductor.org/packages/release/bioc/html/MethylMix.html,No,Download stats: http://bioconductor.org/packages/stats/bioc/MethylMix/,Yes,No,No,No,No,Yes,2014,2022,9,0,None,Download stats
VIPER,https://califano.c2b2.columbia.edu/viper,Bioconductor R packages,CTD^2,PMID: 27322546,DOI: 10.1038/ng.3593,DOI: 10.18129/B9.bioc.viper,NA,NA,NA,NA,"Yes. Alvarez MJ, Shen Y, Giorgi FM, Lachmann A, Ding BB, Ye BH, Califano A (2016). “Functional characterization of somatic mutations in cancer using network-based inference of protein activity.” Nature genetics, 48(8), 838–47.",https://www.bioconductor.org/packages/release/bioc/html/viper.html,reef103@gmail.com,"Yes. https://www.bioconductor.org/packages/release/bioc/vignettes/viper/inst/doc/viper.pdf
https://www.bioconductor.org/packages/release/bioc/manuals/viper/man/viper.pdf",genomics,2014,2022,Bioconductor stats: https://www.bioconductor.org/packages/release/bioc/html/viper.html,No,Download stats: http://bioconductor.org/packages/stats/bioc/viper/,Yes,No,No,No,No,Yes,2014,2022,9,0,None,Download stats
AMARETTO,https://bioconductor.org/packages/release/bioc/html/AMARETTO.html,Bioconductor R packages,ITCR,PMID: 24511378,DOI: 10.1098/rsfs.2013.0013,DOI: 10.18129/B9.bioc.AMARETTO,NA,NA,NA,NA,"Yes. Shinde J, Everaert C, Bakr S, Nabian M, Xu J, Carey V, Pochet N, Gevaert O (2022). AMARETTO: Regulatory Network Inference and Driver Gene Evaluation using Integrative Multi-Omics Analysis and Penalized Regression. R package version 1.13.0.",https://bioconductor.org/packages/release/bioc/html/AMARETTO.html,olivier.gevaert@gmail.com,"https://bioconductor.org/packages/release/bioc/vignettes/AMARETTO/inst/doc/amaretto.html
https://bioconductor.org/packages/release/bioc/manuals/AMARETTO/man/AMARETTO.pdf",mixed,2019,2022,Bioconductor stats: https://bioconductor.org/packages/release/bioc/html/AMARETTO.html,No,Download stats: http://bioconductor.org/packages/stats/bioc/AMARETTO/,Yes,No,No,No,No,Yes,2019,2022,4,0,None,Download stats
Cores Of Recurrent Events (CORE),https://rdrr.io/cran/CORE/,other R packages,ITCR,PMID: 23744040,DOI: 10.1073/pnas.1306909110,NA,NA,NA,NA,NA,No,https://rdrr.io/cran/CORE/,guolisun87@gmail.com,https://rdrr.io/cran/CORE/man/CORE.html,genomics,2013,2022,No,No,No,No,No,No,No,No,No,2013,2022,10,0,None,No
MethCon5,https://cran.r-project.org/web/packages/methcon5/index.html,other R packages,ITCR,PMID: 32078366,DOI: 10.1200/CCI.19.00109,NA,NA,NA,NA,NA,No,https://cran.r-project.org/web/packages/methcon5/index.html,emilhhvitfeldt@gmail.com,https://cran.r-project.org/web/packages/methcon5/methcon5.pdf,NA,2019,2022,No,No,No,No,No,No,No,No,No,2019,2022,4,0,None,No
Integrative Genomics Robust iDentification of cancer subgroups (InGRiD),https://dongjunchung.github.io/INGRID/,other R packages,ITCR,PMID: 29336210,DOI: 10.1177/0962280217752980,DOI: 10.5281/zenodo.3687186,NA,https://www.youtube.com/watch?v=pAsDKxbOv0c,NA,NA,No,https://dongjunchung.github.io/INGRID/,No,very limited,genomics,2020,2020,github: https://github.com/dongjunchung/INGRID/graphs/contributors,No,No,Yes,No,Yes,No,Yes,No,2020,2020,3,2,None,No
DANA,https://github.com/LXQin/DANA,other R packages,ITCR,https://arxiv.org/abs/2201.05055,https://doi.org/10.48550/arXiv.2201.05055,NA,NA,NA,NA,NA,No,https://github.com/LXQin/DANA,No,limited,genomics,2022,2022,github: https://github.com/LXQin/DANA,No,No,No,No,No,No,No,No,2022,2022,1,0,None,No
PRECISION.seq,https://github.com/LXQin/PRECISION.seq,other R packages,ITCR,PMID: 32598180,DOI: 10.1200/CCI.19.00118,NA,NA,NA,NA,NA,No,https://github.com/LXQin/PRECISION.seq,No,https://lxqin.github.io/PRECISION.seq/articles/Intro_Data.html,genomics,2020,2021,github: https://github.com/LXQin/PRECISION.seq,No,No,No,No,No,No,No,No,2020,2021,3,1,None,No
Gene Pattern Notebook,notebook.genepattern.org,Python scripts/Jupyter notebooks,ITCR,PMID: 28822753,DOI: 10.1016/j.cels.2017.07.003,NA,https://twitter.com/GenePattern/status/1590030052875735040?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Escreen-name%3AGenePattern%7Ctwcon%5Es1,https://www.youtube.com/watch?v=8npzyGLpUHU,NA,NA,Yes. Reich et al. The GenePattern Notebook Environment. Cell Systems. 2017(5):149-51,https://github.com/genepattern?q=notebook,NA,"Yes. Extensive documentation and tutorials.
https://notebook.genepattern.org/docs/
https://notebook.genepattern.org/tutorial-videos/",mixed,2006 - strat of the Gene Pattern; I belive 2017 is the beginning of Gene pattern Notebook,2022,github: https://github.com/genepattern?q=notebook,https://groups.google.com/g/genepattern-help,No,No,Yes,Yes,No,Yes,Yes,2006,2022,17,0,Yes,No
AmpliconReconstructor (AR),https://github.com/jluebeck/AmpliconReconstructor,Python scripts/Jupyter notebooks,ITCR,PMID: 32873787,DOI: 10.1038/s41467-020-18099-z,NA,NA,NA,NA,NA,"Yes. Luebeck et al., ""AmpliconReconstructor integrates NGS and optical mapping to resolve the complex structures of focal amplifications"", Nature Communications, 2020.",https://github.com/jluebeck/AmpliconReconstructor,No,https://github.com/jluebeck/AmpliconReconstructor/blob/master/README.md,genomics,2020,2022,github: https://github.com/jluebeck/AmpliconReconstructor,No,No,No,No,No,No,No,Yes,2020,2022,3,0,None,No
AmpliconArchitect (AA),https://github.com/virajbdeshpande/AmpliconArchitect,Python scripts/Jupyter notebooks,ITCR,PMID: 30674876,DOI: 10.1038/s41467-018-08200-y,NA,NA,NA,NA,NA,"Yes. Deshpande, V. et al. Exploring the landscape of focal amplifications in cancer using AmpliconArchitect. Nat. Commun. 10, 392 (2019). (Article)",https://github.com/virajbdeshpande/AmpliconArchitect,No,https://github.com/virajbdeshpande/AmpliconArchitect#readme,genomics,2019,2022,github: https://github.com/virajbdeshpande/AmpliconArchitect,No,No,No,No,No,No,No,Yes,2019,2022,4,0,None,No
HistoQC,https://github.com/choosehappy/HistoQC,Python scripts/Jupyter notebooks,ITCR,PMID: 30990737,DOI: 10.1200/CCI.18.00157,NA,NA,NA,NA,NA,"Yes. ""HistoQC: An Open-Source Quality Control Tool for Digital Pathology Slides"", Janowczyk A., Zuo R., Gilmore H., Feldman M., Madabhushi A., JCO Clinical Cancer Informatics, 2019",https://github.com/choosehappy/HistoQC,No,"https://github.com/choosehappy/HistoQC#readme
https://github.com/choosehappy/HistoQC/wiki",digital pathology slides,2019,2022,github: https://github.com/choosehappy/HistoQC,No,No,No,No,No,No,No,Yes,2019,2022,4,0,None,No
IGV-notebook,https://github.com/igvteam/igv-notebook,Python scripts/Jupyter notebooks,ITCR,https://www.biorxiv.org/content/10.1101/2020.05.03.075499v1,doi: https://doi.org/10.1101/2020.05.03.075499,NA,NA,NA,NA,NA,No,https://github.com/igvteam/igv-notebook,No,https://github.com/igvteam/igv-notebook#readme,genomics,2022,2022,github: https://github.com/igvteam/igv-notebook#readme,No,No,No,No,No,No,No,No,2022,2022,1,0,None,No
GSEA,http://www.gsea-msigdb.org/gsea/index.jsp,Desktop Application,ITCR,PMID: 12808457,DOI: 10.1038/ng1180,NA,https://twitter.com/intent/follow?original_referer=http%3A%2F%2Fwww.gsea-msigdb.org%2F&ref_src=twsrc%5Etfw%7Ctwcamp%5Ebuttonembed%7Ctwterm%5Efollow%7Ctwgr%5EGSEA_MSigDB&screen_name=GSEA_MSigDB,NA,NA,NA,"Yes.  Subramanian, Tamayo, et al. (2005, PNAS) and Mootha, Lindgren, et al. (2003, Nature Genetics).",R version is available here: https://www.gsea-msigdb.org/gsea/downloads_archive.jsp,"gsea-team@broadinstitute.org
genesets@broadinstitute.org","https://software.broadinstitute.org/cancer/software/gsea/wiki/index.php/Main_Page
http://www.gsea-msigdb.org/gsea/doc/GSEAUserGuideFrame.html","genomic, phenotypic",2003,2022,No,https://groups.google.com/g/gsea-help,No,No,Yes,No,No,Yes,Yes,2003,2022,20,0,Yes,No
Cytoscape,https://cytoscape.org,Desktop Application,ITCR/CTD^2,PMID: 14597658,DOI: 10.1101/gr.1239303,NA,https://twitter.com/cytoscape/status/1592019597057617920?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Escreen-name%3Acytoscape%7Ctwcon%5Es1,https://www.youtube.com/watch?v=_nbqSe4Zaps&t=3s,NA,NA,"Yes.  Shannon P, Markiel A, Ozier O, Baliga NS, Wang JT, Ramage D, Amin N, Schwikowski B, Ideker T.
Cytoscape: a software environment for integrated models of biomolecular interaction networks

Genome Research 2003 Nov; 13(11):2498-504",https://github.com/cytoscape/cytoscape,NA,"Lots of documentation, including manual, tutorials, video demos, links for developers, etc
https://cytoscape.org/documentation_users.html",NA,NA,NA,github: https://github.com/cytoscape/cytoscape,Bug report form: https://cytoscape.org/bug-report.html,No,No,Yes,Yes,No,Yes,Yes,2002,NA,21,NA,Yes,No
Pathology Imaging Informatics Platform (PIIP),http://pathiip.org/,Desktop Application,ITCR,PMID: 29092947,DOI: 10.1158/0008-5472.CAN-17-0323,NA,NA,NA,NA,NA,Many publications are listed. It's unclear how to cite.,No,No,Limited,digital pathology slides,2016,2020,No,There is a forum with no posts: http://pathiip.org/?q=forum,No,No,No,No,No,No,Unclear,2016,2020,7,2,NotWorking,No
Trinity,https://github.com/trinityrnaseq/trinityrnaseq/wiki,Desktop Application,ITCR,PMID: 21572440,DOI: 10.1038/nbt.1883,NA,NA,NA,NA,NA,"Yes. Grabherr MG, Haas BJ, Yassour M, Levin JZ, Thompson DA, Amit I, Adiconis X, Fan L, Raychowdhury R, Zeng Q, Chen Z, Mauceli E, Hacohen N, Gnirke A, Rhind N, di Palma F, Birren BW, Nusbaum C, Lindblad-Toh K, Friedman N, Regev A. Full-length transcriptome assembly from RNA-seq data without a reference genome. Nat Biotechnol. 2011 May 15;29(7):644-52. doi: 10.1038/nbt.1883. PubMed PMID: 21572440.",https://github.com/trinityrnaseq/trinityrnaseq,NA,https://github.com/trinityrnaseq/trinityrnaseq/wiki,genomics,2011,2022,github: https://github.com/trinityrnaseq/trinityrnaseq,https://groups.google.com/g/trinityrnaseq-users,No,No,No,No,No,No,Yes,2011,2022,12,0,Yes,No
Text Information Extraction System (TIES),https://sourceforge.net/projects/caties/,Desktop Application,ITCR,PMID: 29416911,DOI: 10.4103/jpi.jpi_55_17,NA,NA,NA,NA,NA,No,https://sourceforge.net/p/caties/code/HEAD/tree/,No,NA,clinical text,2007,"this software and forum are no longer maintained, as of 8/15/2019",No,https://sourceforge.net/p/caties/discussion/,"SourceForge statistics
Code commit log https://sourceforge.net/p/caties/code/2512/log/?path=",No,No,No,No,No,No,2007,2019,16,3,Yes,SourceForge stats
OncoMX,https://www.oncomx.org,Database/Ontology,ITCR,PMID: 32142370,DOI: 10.1200/CCI.19.00117,NA,NA,NA,NA,NA,"Yes. Hayley M. Dingerdissen, Frederic Bastian, K. Vijay-Shanker, Marc Robinson-Rechavi, Amanda Bell, Nikhita Gogate, Samir Gupta, Evan Holmes, Robel Kahsay, Jonathon Keeney, Heather Kincaid, Charles Hadley King, David Liu, Daniel J. Crichton, and Raja Mazumder. OncoMX: A Knowledgebase for Exploring Cancer Biomarkers in the Context of Related Cancer and Healthy Data. JCO Clin Cancer Inform. 2020 :4, 210-220. PMID: 32142370. https://ascopubs.org/doi/full/10.1200/CCI.19.00117",No,Contuct Us form,"https://www.oncomx.org/faq?fq=/static/docs/README.1.0.26.txt
video tutorials, PDF help
",genomics,2020,unknown,No,Contuct Us form,No,No,No,No,No,No,Yes,2020,NA,3,NA,Yes,No
Molecular Signatures Database (MSigDB),https://www.gsea-msigdb.org/gsea/msigdb/,Database/Ontology,ITCR,PMID: 21546393,DOI: 10.1093/bioinformatics/btr260,NA,https://twitter.com/intent/follow?original_referer=https%3A%2F%2Fwww.gsea-msigdb.org%2F&ref_src=twsrc%5Etfw%7Ctwcamp%5Ebuttonembed%7Ctwterm%5Efollow%7Ctwgr%5EGSEA_MSigDB&screen_name=GSEA_MSigDB,NA,NA,NA,"Yes. Subramanian, Tamayo, et al. (2005, PNAS) and one or more of the following as appropriate: Liberzon, et al. (2011, Bioinformatics), Liberzon, et al. (2015, Cell Systems)",No,genesets@broadinstitute.org,https://www.gsea-msigdb.org/gsea/msigdb/human/collections.jsp,Gene sets,2005,2022,No,https://groups.google.com/g/gsea-help,No,No,Yes,No,No,Yes,Yes,2005,2022,18,0,Yes,No
Pathway Commons,https://www.pathwaycommons.org,Database/Ontology,CTD^2,PMID: 31647099,DOI: 10.1093/nar/gkz946,NA,https://twitter.com/pathwaycommons,NA,NA,NA,"Pathway Commons 2019 Update. Nucleic Acids Res (2019)
Author-sourced pathway capture using Biofactoid. eLife (2021)",https://github.com/pathwaycommons/,NA,https://www.pathwaycommons.org/guide/,Gene sets,2011,2021,github: https://github.com/pathwaycommons/,"https://groups.google.com/g/pathway-commons-help
https://groups.google.com/g/pathway-commons-announcements",No,No,Yes,No,No,Yes,Yes,2011,2021,12,1,Yes,No
"Patient-Derived Xenograft (PDX) Finder 
It's now PDCMFinder https://www.cancermodels.org/","https://www.pdxfinder.org
https://www.cancermodels.org/",Database/Ontology,ITCR,PMID: 30535239,DOI: 10.1093/nar/gky984,NA,NA,NA,NA,NA,PDXFinder ref is provided: https://pubmed.ncbi.nlm.nih.gov/30535239/,No,"Contact form
helpdesk@cancermodels.org",Limited,cancer models,2017,2022,No,Contact form,No,No,No,No,No,No,Yes,2017,2022,6,0,Yes,No
Personalized Cancer Therapy,https://pct.mdanderson.org,Database/Ontology,ITCR,PMID: 29212833,DOI: 10.1101/mcs.a001578,NA,NA,NA,NA,NA,No,No,No,https://pct.mdanderson.org/#/about/knowledge-base-generation,mixed,Unknown,2015,No,No,No,No,No,No,No,No,No,NA,2015,NA,7,None,No
